,index,cause,effect,conceptual_explanation,t1,t2,t3,t1_filtered,t2_filtered,t3_filtered
1679,dev-1679,There are many molas in the sea.,Molas are easily bitten by other fish.,Molas have a reduced skeleton with fewer vertebrae than any other fish.,molas are easily bitten by molas in the sea where?,what causes molas to be easily bitten?,why are molas easily bitten by other fish?,molas are easily bitten by molas in the sea where?,what causes molas to be easily bitten?,why are molas easily bitten by other fish?
1680,dev-1680,This research needs a sessile animal.,The teacher suggested that they choose crinoids.,Crinoids are sessile.,why does This research needs a sessile animal cause The teacher suggested that they choose crinoids?,what is the cause of the teacher's suggestion?,why does This research needs a sessile animal cause The teacher suggested that they choose crinoids?,why does This research needs a sessile animal cause The teacher suggested that they choose crinoids?,what is the cause of the teacher's suggestion?,why does This research needs a sessile animal cause The teacher suggested that they choose crinoids?
1681,dev-1681,Tom saw the grass germinate.,"A few days later, Tom observed the taproot of the grass.",Grasses establish a taproot upon germination.,when did tom see the grass germinate?,what was the cause of the grass germination?,why did tom observe the taproot of the grass?,when did tom see the grass germinate?,what was the cause of the grass germination?,why did tom observe the taproot of the grass?
1682,dev-1682,Billy is reading about fat.,Billy reads about lipids in his reading.,Lipids are a type of fat.,what is billy reading about?,what causes billy to read about lipids?,why does billy read about lipids?,what is billy reading about?,what causes billy to read about lipids?,why does billy read about lipids?
1683,dev-1683,I compared the faces of a cougar and a cat.,I thought they have similar faces.,Cougars look like cats.,cougar and cat have similar faces?,what was the effect of comparing the faces of cougar and cat?,a couga and the thought the faces of a cougas have have similar faces??,cougar and cat have similar faces?,what was the effect of comparing the faces of cougar and cat?,a couga and the thought the faces of a cougas have have similar faces??
1684,dev-1684,Jane is a master of Selvage.,The finished lengthwise edges of her fabric works were always wonderful.,Selvage refers to the finished lengthwise edges of the fabric.,who is a master of selvage?,is jane a master of selvage?,jane'jane jane'jane was a master of jane jane's fabric work?,who is a master of selvage?,is jane a master of selvage?,jane'jane jane'jane was a master of jane jane's fabric work?
1685,dev-1685,Tom threw a piece of glass onto the quartz. .,The glass broke into pieces. .,Quartz is harder than glass.,what happened to the piece of glass that tom threw on the quartz?,why does Tom threw a piece of glass onto the quartz  cause The glass broke into pieces ?,what caused the glass to break?,what happened to the piece of glass that tom threw on the quartz?,why does Tom threw a piece of glass onto the quartz  cause The glass broke into pieces ?,what caused the glass to break?
1686,dev-1686,The lactating woman took hydrazine.,The baby had related adverse reactions.,Hydralazine passes into breast milk.,what did the lactating woman take hydrazine?,what was the cause of the adverse reaction?,the lactating lactating woman took what kind of action?,what did the lactating woman take hydrazine?,what was the cause of the adverse reaction?,the lactating lactating woman took what kind of action?
1687,dev-1687,Harvests make farmers happy.,Farmers like autumn.,Autumn is also a time to harvest.,what type of harvest make farmers happy?,what caused the harvests to make farmers happy?,why do farmers like autumn?,what type of harvest make farmers happy?,what caused the harvests to make farmers happy?,why do farmers like autumn?
1688,dev-1688,There are many tools in front of the tree.,Tom recognizes the stick at once.,Sticks have several features.,why does There are many tools in front of the tree cause Tom recognizes the stick at once?,why does tom recognize the stick at once?,tom recognizes the stick at once because there are many tools in front of the tree?,why does There are many tools in front of the tree cause Tom recognizes the stick at once?,why does tom recognize the stick at once?,tom recognizes the stick at once because there are many tools in front of the tree?
1689,dev-1689,This thruse has hurt its wings.,It has difficulty in flying.,Thrushes have wings.,what thruse has hurt its wings?,what is the cause of a thruse having trouble with its wings?,why does it have difficulty flying?,what thruse has hurt its wings?,what is the cause of a thruse having trouble with its wings?,why does it have difficulty flying?
1690,dev-1690,Tom is willing to offer help.,He often assists people.,People need assistance.,how often does tom help people?,why is tom willing to offer help?,why is tom willing to offer help?,how often does tom help people?,why is tom willing to offer help?,why is tom willing to offer help?
1691,dev-1691,Hellbenders have strong limbs as sea creatures.,They always walk under the sea.,Hellbenders can swim but usually walk along the stream bottom using their sturdy limbs.,why does Hellbenders have strong limbs as sea creatures cause They always walk under the sea?,why do hellbenders always walk under sea creatures?,hellbenders have strong limbs because hellbenders walk under the sea?,why does Hellbenders have strong limbs as sea creatures cause They always walk under the sea?,why do hellbenders always walk under sea creatures?,hellbenders have strong limbs because hellbenders walk under the sea?
1692,dev-1692,Gardeners offer the lawn enough fertiles.,The lawn has nitrogen inside.,Lawns eat nitrogen.,why does Gardeners offer the lawn enough fertiles cause The lawn has nitrogen inside?,what is the effect of having enough fertiles inside the lawn?,why does the lawn have nitrogen inside?,why does Gardeners offer the lawn enough fertiles cause The lawn has nitrogen inside?,what is the effect of having enough fertiles inside the lawn?,why does the lawn have nitrogen inside?
1693,dev-1693,Tom took a visit to the national park.,Tom saw a lot of pretty birds in the national park.,Parks have birds.,what did tom see in the national park?,what is the cause of tom's visit to the national park?,why does Tom took a visit to the national park cause Tom saw a lot of pretty birds in the national park?,what did tom see in the national park?,what is the cause of tom's visit to the national park?,why does Tom took a visit to the national park cause Tom saw a lot of pretty birds in the national park?
1694,dev-1694,Tom has exploring the secret of the nature.,He found lectins everywhere.,Lectins occur ubiquitously in nature.,why does Tom has exploring the secret of the nature cause He found lectins everywhere?,what is the cause of tom's interest in nature?,where did tom find lectins?,why does Tom has exploring the secret of the nature cause He found lectins everywhere?,what is the cause of tom's interest in nature?,where did tom find lectins?
1695,dev-1695,The two soldiers are very anxious.,There is a great tension between them.,Tension is produced by anxiety.,what is the tension between the two soldiers?,what is the cause of the tension between the soldiers?,is there a great tension between the two soldiers?,what is the tension between the two soldiers?,what is the cause of the tension between the soldiers?,is there a great tension between the two soldiers?
1696,dev-1696,Recording polarity is very important in John's experiment.,John recorded the the phase of the signal in relation to the string vibration.,Polarity refers to the phase of the signal in relation to the string vibration.,why does Recording polarity is very important in John's experiment cause John recorded the the phase of the signal in relation to the string vibration?,what was the cause of john's experiment?,why does Recording polarity is very important in John's experiment cause John recorded the the phase of the signal in relation to the string vibration?,why does Recording polarity is very important in John's experiment cause John recorded the the phase of the signal in relation to the string vibration?,what was the cause of john's experiment?,why does Recording polarity is very important in John's experiment cause John recorded the the phase of the signal in relation to the string vibration?
1697,dev-1697,They were all fleshes.,They had appearances.,Flesh has appearances.,were they all fleshes such that they had appearances?,what is the cause and effect of the appearance of the movies?,to what were the appearances?,were they all fleshes such that they had appearances?,what is the cause and effect of the appearance of the movies?,to what were the appearances?
1698,dev-1698,John attempted to cheat in the exam.,John's cheating was discovered by the teacher and his exam was terminated.,Attempts have consequences.,john attempted to cheat in the exam?,what was the cause of john's cheating?,what teacher discovered john's cheating?,john attempted to cheat in the exam?,what was the cause of john's cheating?,what teacher discovered john's cheating?
1699,dev-1699,Foxes have been hunting well recently.,It saves surplus prey.,Foxes cache excess food when the hunting is good.,what saves prey from foxes?,what is the effect of foxes hunting well recently?,what is the name of the program?,what saves prey from foxes?,what is the effect of foxes hunting well recently?,what is the name of the program?
1700,dev-1700,I appreciated the works of the artist.,I understood the the objectification of his feeling.,Art is the objectification of feeling.,did i understand the objectification of the artist's feeling?,how did i feel about the objectification of the artist?,how did i feel about the objectification of the artist's feeling?,did i understand the objectification of the artist's feeling?,how did i feel about the objectification of the artist?,how did i feel about the objectification of the artist's feeling?
1701,dev-1701,The bad guy wants to infere the program.,He found some bullies to make destructions to the building.,Interference involves destruction.,the bad guy wants to infer the program such that he found some bullies?,why does the bad guy want to infer the program?,what bad guy wants to make destructions to the building?,the bad guy wants to infer the program such that he found some bullies?,why does the bad guy want to infer the program?,what bad guy wants to make destructions to the building?
1702,dev-1702,The researcher wants to oxidize the ammonia into nitrate.,The researcher made a nitrification.,Nitrification is defined as the oxidation of ammonia to nitrate.,what type of nitrification did the researcher make?,what is the effect of the researcher making a nitrification?,what is a nitrification?,what type of nitrification did the researcher make?,what is the effect of the researcher making a nitrification?,what is a nitrification?
1703,dev-1703,Everyday there are some germs invading our body.,The immunity system defend our body from being ill.,Immunity is our body's ability to defend itself against foreign substances like germs.,what type of germs are invading our body?,what is the effect of the immunity system?,what system defends our body from being ill?,what type of germs are invading our body?,what is the effect of the immunity system?,what system defends our body from being ill?
1704,dev-1704,The students in this class have graduated long time ago.,They all have good jobs now.,Students find successful careers.,do the students in this class have good jobs now?,do all students in this class have good jobs?,do they all have good jobs now?,do the students in this class have good jobs now?,do all students in this class have good jobs?,do they all have good jobs now?
1705,dev-1705,The Man hunted Bilbies.,He was caught for killing endangered species of Australian marsupials.,Bilbies are an endangered species of Australian marsupials.,what species of bilbies did the man hunt?,what was the cause of the man's arrest?,what species of bilbies did the man hunt?,what species of bilbies did the man hunt?,what was the cause of the man's arrest?,what species of bilbies did the man hunt?
1706,dev-1706,There is a sedge in Tom's garden.,He found the sedge was bending.,Sedges tend to have angled stems.,what sedge is in tom's garden?,what was the effect of the sedge in tom's garden?,why was the sedge bending?,what sedge is in tom's garden?,what was the effect of the sedge in tom's garden?,why was the sedge bending?
1707,dev-1707,The situation in the Middle East is uncertain.,Some experts intend to make some assessments.,Experts to assess situations.,what type of assessments do some experts intend to make?,what is the cause and effect of the situation in the middle east?,do some experts intend to make assessments of the middle east?,what type of assessments do some experts intend to make?,what is the cause and effect of the situation in the middle east?,do some experts intend to make assessments of the middle east?
1708,dev-1708,Mike lives in a basin.,He is used to the seasonal variability.,Basins have seasonal variability.,what is mike's relationship to seasonal variability?,what is the cause of the seasonal variability?,what is mike's relationship to seasonal variability?,what is mike's relationship to seasonal variability?,what is the cause of the seasonal variability?,what is mike's relationship to seasonal variability?
1709,dev-1709,Tom likes to open a new book on the first day of a month.,Tom can finish reading at least one book a month.,Reads start with open books.,why does Tom likes to open a new book on the first day of a month cause Tom can finish reading at least one book a month?,what causes tom to open a new book on the first day of the month?,what is tom's favorite book to read?,why does Tom likes to open a new book on the first day of a month cause Tom can finish reading at least one book a month?,what causes tom to open a new book on the first day of the month?,what is tom's favorite book to read?
1710,dev-1710,There is a lot of acidic soil in this place.,Horticulturists plant heaths and eventually make a sea of flowers.,Heaths thrive in acidic soil.,horticulturists make a lot of acidic soil in this place?,why do horticuurists make a lot of acidic soil?,why does There is a lot of acidic soil in this place cause Horticulturists plant heaths and eventually make a sea of flowers?,horticulturists make a lot of acidic soil in this place?,why do horticuurists make a lot of acidic soil?,why does There is a lot of acidic soil in this place cause Horticulturists plant heaths and eventually make a sea of flowers?
1711,dev-1711,The programmer is detecting the data of object movement.,Programmers detect through flows.,Flows are streams of multimedia data moving through a sequence of objects.,what does the programmer detect?,what is the cause of the programmer detecting object movement?,why does The programmer is detecting the data of object movement cause Programmers detect through flows?,what does the programmer detect?,what is the cause of the programmer detecting object movement?,why does The programmer is detecting the data of object movement cause Programmers detect through flows?
1712,dev-1712,The oosperm of a frog is in the egg.,A tadpole would first feel the world in the pond.,Frogs start their lives in eggs in ponds.,what is in the egg of a tadpole?,why is the oosperm of a frog in the egg?,would a tadpole first feel the world in the pond?,what is in the egg of a tadpole?,why is the oosperm of a frog in the egg?,would a tadpole first feel the world in the pond?
1713,dev-1713,They mixed cement with water by pouring it into the pit.,"After stirring for a while, the contents of the pit synthesize new substances and harden.",Cement reacts chemically with water to cause concrete to harden.,they mixed water and cement in the water?,what is the cause of the mixing of cement with water in a pit?,"after stirring for a while, what happens to the contents of the pit?",they mixed water and cement in the water?,what is the cause of the mixing of cement with water in a pit?,"after stirring for a while, what happens to the contents of the pit?"
1714,dev-1714,Tom has symptoms of keratinization.,The doctor suspects that Tom has squamous cell carcinoma.,Keratinization is one of the diagnostic features of squamous cell carcinoma.,the doctor suspects tom has squamous cell carcinozation because of tom's symptoms?,what is the cause of tom's symptoms?,why does Tom has symptoms of keratinization cause The doctor suspects that Tom has squamous cell carcinoma?,the doctor suspects tom has squamous cell carcinozation because of tom's symptoms?,what is the cause of tom's symptoms?,why does Tom has symptoms of keratinization cause The doctor suspects that Tom has squamous cell carcinoma?
1715,dev-1715,Tom used his prizes as evidence.,His potential to win another game was demonstrated.,Evidence demonstrates potential.,tom tom tom tom tom tom tom tom tom tom tom tom?,what did tom do with his prizes?,what did tom do to demonstrate his potential to win another game?,tom tom tom tom tom tom tom tom tom tom tom tom?,what did tom do with his prizes?,what did tom do to demonstrate his potential to win another game?
1716,dev-1716,Harbin Institute of technology uniformly installed the building with heat insulation panels.,Harbin Institute of technology is the best school to keep warm in winter in China.,Insulation is designed to prevent heat flow.,harbin institute of technology uniformly installed the building with heat insulation panels?,what is the cause of the installation of heat insulation panels?,harbin institute of technology is the best school to keep warm in winter?,harbin institute of technology uniformly installed the building with heat insulation panels?,what is the cause of the installation of heat insulation panels?,harbin institute of technology is the best school to keep warm in winter?
1717,dev-1717,Many public utilities in this city were very old.,They will be installed with new facilities.,Utilities install facilities.,why does Many public utilities in this city were very old cause They will be installed with new facilities?,what was the cause of the old public utilities?,how will the public utilities be replaced?,why does Many public utilities in this city were very old cause They will be installed with new facilities?,what was the cause of the old public utilities?,how will the public utilities be replaced?
1718,dev-1718,Air enters cavities.,Pouches can let air in.,Pouches contain cavities.,pouches can let air in cavities?,why do pouches let air enter cavities?,pouches can let air in because air enters cavities?,pouches can let air in cavities?,why do pouches let air enter cavities?,pouches can let air in because air enters cavities?
1719,dev-1719,Insects had contact with his nake wound.,He was infected with virus.,Insects pick up viruses.,how did the insect get infected with a virus?,what is the cause of a person being infected with virus?,what is the virus called?,how did the insect get infected with a virus?,what is the cause of a person being infected with virus?,what is the virus called?
1720,dev-1720,The weather is hot in summer.,Inside the house is cooler than outside.,Homes have air conditions.,is the weather hot in summer or cold in winter?,what is the effect of the weather inside the house?,what is it called when the weather is hot in the summer?,is the weather hot in summer or cold in winter?,what is the effect of the weather inside the house?,what is it called when the weather is hot in the summer?
1721,dev-1721,I was doing experiment on a tundra.,I could barely see trees around.,Tundra is an environment characterized mainly by the absence of trees.,what did i do on a tundra?,why could i barely see trees on a tundra?,what was it like doing experiment on a tundra?,what did i do on a tundra?,why could i barely see trees on a tundra?,what was it like doing experiment on a tundra?
1722,dev-1722,Conducting electricity without resistance won't emit a lot heat.,The Superconductive material can keep the temperature of the circuit.,Superconductivity is the property of some materials to conduct electricity without resistance.,why does Conducting electricity without resistance won't emit a lot heat cause The Superconductive material can keep the temperature of the circuit?,what is the effect of conducting electricity without resistance?,what is the temperature of the circuit?,why does Conducting electricity without resistance won't emit a lot heat cause The Superconductive material can keep the temperature of the circuit?,what is the effect of conducting electricity without resistance?,what is the temperature of the circuit?
1723,dev-1723,The leader's effort had positive effect on the staff.,His encouraging plan had more effectiveness.,Effects alter effectiveness.,what did he do?,what positive effect did a leader's efforts have on the staff?,what is the president of the united states?,what did he do?,what positive effect did a leader's efforts have on the staff?,what is the president of the united states?
1724,dev-1724,The plane needs to fly smoothly.,The plane should not fly in troposphere at last.,Tropospheres have characteristics.,why does The plane needs to fly smoothly cause The plane should not fly in troposphere at last?,why does The plane needs to fly smoothly cause The plane should not fly in troposphere at last?,the plane needs to fly smoothly because the plane needs to fly smoothly?,why does The plane needs to fly smoothly cause The plane should not fly in troposphere at last?,why does The plane needs to fly smoothly cause The plane should not fly in troposphere at last?,the plane needs to fly smoothly because the plane needs to fly smoothly?
1725,dev-1725,He brought his cat to the vet.,The vet asserted it has panleukopenia.,Vets make definite diagnoses.,what did panleuk do with his cat?,what is the cause of a person bringing their cat to the vet?,what the cat did not do what?,what did panleuk do with his cat?,what is the cause of a person bringing their cat to the vet?,what the cat did not do what?
1726,dev-1726,The enemy dropped a lethal biological weapon.,Many people were infected with anthrax.,Anthrax is a lethal biological weapon.,what did the enemy drop on anthrax victims?,what is the cause of the spread of anthrax?,the enemy did the enemy dropped a biological weapon?,what did the enemy drop on anthrax victims?,what is the cause of the spread of anthrax?,the enemy did the enemy dropped a biological weapon?
1727,dev-1727,Peter was particularly good at cryptanalysis at the military academy.,"During the exercise, he successfully cracked the other party's cryptosystem.",Cryptanalysis studies the breaking of cryptosystems.,what did peter do at the military academy?,what was the cause of peter's success at cryptanalysis?,"why does Peter was particularly good at cryptanalysis at the military academy cause During the exercise, he successfully cracked the other party's cryptosystem?",what did peter do at the military academy?,what was the cause of peter's success at cryptanalysis?,"why does Peter was particularly good at cryptanalysis at the military academy cause During the exercise, he successfully cracked the other party's cryptosystem?"
1728,dev-1728,He doesn't have a method at all.,His trials always fail.,Trials look at methods.,do his trials always succeed or fail?,why do his trials always fail?,why do his trials always fail?,do his trials always succeed or fail?,why do his trials always fail?,why do his trials always fail?
1729,dev-1729,Yeasts are prokaryotes.,Yeast has no chromosomes.,Procaryotes lack nuclei.,what type of yeast has no chromosomes?,what is the cause of the cause?,what is the cause of yeast not having chromosomes?,what type of yeast has no chromosomes?,what is the cause of the cause?,what is the cause of yeast not having chromosomes?
1730,dev-1730,Scientists need to keep hydrogen peroxide stable.,Scientists keep hydrogen peroxide at room temperature.,Hydrogen perxoide is stable at room temperature.,what do scientists need to do to keep hydrogen peroxide stable?,what is the cause of scientists keeping hydrogen peroxide stable?,why do scientists keep hydrogen peroxide at room temperature?,what do scientists need to do to keep hydrogen peroxide stable?,what is the cause of scientists keeping hydrogen peroxide stable?,why do scientists keep hydrogen peroxide at room temperature?
1731,dev-1731,They walked along the stream.,They found lots of fish in it.,Streams possess fish.,what type of fish did they find in the stream?,what is the cause of the fish in the stream?,why did they find fish in the stream?,what type of fish did they find in the stream?,what is the cause of the fish in the stream?,why did they find fish in the stream?
1732,dev-1732,There is grass on alpine steppes.,Yaks were fed on alpine steppes.,Yaks graze on alpine steppes.,is there grass on alpine steppes such as yaks?,why does There is grass on alpine steppes cause Yaks were fed on alpine steppes?,why were yaks fed on alpine steppes?,is there grass on alpine steppes such as yaks?,why does There is grass on alpine steppes cause Yaks were fed on alpine steppes?,why were yaks fed on alpine steppes?
1733,dev-1733,This brand is dominant.,People believe its good quality.,Dominance suggests quality.,what type of quality does this brand have?,what is the cause of this brand's good quality?,what is the name of the brand that is dominant?,what type of quality does this brand have?,what is the cause of this brand's good quality?,what is the name of the brand that is dominant?
1734,dev-1734,The Humidity was decreased.,The drying time of all paints changed except for latexes.,Humidity affects the drying time of all paints but especially latexes.,what happened to the drying time of all paints except latex?,what was the effect on the drying time of paints?,what is the drying time of latexes?,what happened to the drying time of all paints except latex?,what was the effect on the drying time of paints?,what is the drying time of latexes?
1735,dev-1735,Patients with cancer always have sudden pain.,The doctor will give them some meperidine.,Meperidine is a widely prescribed opioid analgesic used in a variety of clinical situations.,do patients with cancer always have sudden pain?,what is the cause of sudden pain in patients with cancer?,a doctor will give a patient a meperidine?,do patients with cancer always have sudden pain?,what is the cause of sudden pain in patients with cancer?,a doctor will give a patient a meperidine?
1736,dev-1736,Ten people in the hospital have schizophrenia.,Nine of them usually have delusions and the other sometimes does.,Delusions are common among individuals with schizophrenia.,how many people in the hospital have schizophrenia?,what is the cause of schizophrenia in the hospital?,how many people in the hospital usually have delusions?,how many people in the hospital have schizophrenia?,what is the cause of schizophrenia in the hospital?,how many people in the hospital usually have delusions?
1737,dev-1737,Tom wants to be refrained from sex.,He became a monk.,Abstinence is the choice to refrain from sex.,tom wants to refrain from sex so that he becomes a monk?,why did tom become a monk?,why did tom become a monk?,tom wants to refrain from sex so that he becomes a monk?,why did tom become a monk?,why did tom become a monk?
1738,dev-1738,I don't want others know I followed Paganism.,I hide the way of my life.,Paganism is a certain way of life.,do i want others to know i follow paganism?,why do i hide the way i followed paganism?,why do i hide the way i lived?,do i want others to know i follow paganism?,why do i hide the way i followed paganism?,why do i hide the way i lived?
1739,dev-1739,The gametophyte was formed.,Fertilization was ready to start.,Fertilization occurs in gametophytes.,what was the first step in the formation of a gametophyte?,what is the cause of the formation of gametophyte?,why was fertilization ready to start?,what was the first step in the formation of a gametophyte?,what is the cause of the formation of gametophyte?,why was fertilization ready to start?
1740,dev-1740,He lays on the sofa and watches TV every day.,He soon suffered from obesity.,Television contributes to obesity.,how often does he lie on the sofa?,what causes a person to suffer from obesity?,what was the cause of his obesity?,how often does he lie on the sofa?,what causes a person to suffer from obesity?,what was the cause of his obesity?
1741,dev-1741,Atoms in oxygen molecules have a greater ability to attract electrons to themselves than nitrogen molecules.,Oxygen is more electronegative than nitrogen.,Electronegativity is the ability of an atom in a molecule to attract electrons toward itself.,oxygen molecules have a greater ability to attract electrons to themselves than nitrogen molecules?,what is the effect?,is oxygen more or less electronegative than nitrogen?,oxygen molecules have a greater ability to attract electrons to themselves than nitrogen molecules?,what is the effect?,is oxygen more or less electronegative than nitrogen?
1742,dev-1742,Dogs belong to canids.,Dogs only have four legs.,Canids only have four toes.,do dogs only have four legs?,why do dogs belong to canids?,do dogs belong to canids?,do dogs only have four legs?,why do dogs belong to canids?,do dogs belong to canids?
1743,dev-1743,His gum is inflamed.,He had the same symptoms.,Inflammation causes same symptoms.,what were the same symptoms?,what is the cause of the same symptoms?,what type ofӏs did he have?,what were the same symptoms?,what is the cause of the same symptoms?,what type ofӏs did he have?
1744,dev-1744,The mitochondrion of the leave has been hurt.,The leave is withered.,Mitochondrion also play a pivotal role in programmed cell death.,has the mitochondrion of the leave withered?,what is the effect of the mitochondrion of the leave being hurt?,what is the mitochondrion of the leave called?,has the mitochondrion of the leave withered?,what is the effect of the mitochondrion of the leave being hurt?,what is the mitochondrion of the leave called?
1745,dev-1745,The manager was greatly irritated by the low salary.,He had strong response toward the salary.,Irritation triggers strong responses.,what was the manager's response to the low salary?,what is the effect of the low salary?,what was the manager's response to the low salary?,what was the manager's response to the low salary?,what is the effect of the low salary?,what was the manager's response to the low salary?
1746,dev-1746,The general killed all villagers there.,All people in the village died.,Kill causes dies.,what happened to all the people in the village?,what is the effect of the general's actions?,what did the general do to the villagers?,what happened to all the people in the village?,what is the effect of the general's actions?,what did the general do to the villagers?
1747,dev-1747,Tom made a lot of short-term investments with the government.,He made a lot of profits.,Profit is the increase in wealth in a period.,what kind of investments did tom make?,what did tom make short - term investments with the government?,did tom make a lot of profits?,what kind of investments did tom make?,what did tom make short - term investments with the government?,did tom make a lot of profits?
1748,dev-1748,A number of artists are invited to the art exhibition.,The art exhibition was a great success.,Artists demonstrate ability.,is the art exhibition a great success?,was the art exhibition a great success?,why does A number of artists are invited to the art exhibition cause The art exhibition was a great success?,is the art exhibition a great success?,was the art exhibition a great success?,why does A number of artists are invited to the art exhibition cause The art exhibition was a great success?
1749,dev-1749,Toby is very interested in the cliffs of Huashan Mountain.,He goes climbing this summer vacation.,Cliffs cause a desire to climbs.,is toby interested in the cliffs of huashan mountain?,why is toby interested in the cliffs of huashan mountain?,why does toby go climbing?,is toby interested in the cliffs of huashan mountain?,why is toby interested in the cliffs of huashan mountain?,why does toby go climbing?
1750,dev-1750,Alice got married last year.,She got pregnant last week.,Wives become parents.,what was the name of alice's husband?,why did alice get married last year?,why does Alice got married last year cause She got pregnant last week?,what was the name of alice's husband?,why did alice get married last year?,why does Alice got married last year cause She got pregnant last week?
1751,dev-1751,His penis was pierced by a small wooden stick.,His penis bleeds.,Penises fill with blood.,how does a man's penis bleed?,what is the cause of his penis bleeding?,why does a man's penis bleed?,how does a man's penis bleed?,what is the cause of his penis bleeding?,why does a man's penis bleed?
1752,dev-1752,Climates are different in the two places.,The environments in the two places are also different.,Climates change environments.,why does Climates are different in the two places cause The environments in the two places are also different?,why are climates different in two places?,why does Climates are different in the two places cause The environments in the two places are also different?,why does Climates are different in the two places cause The environments in the two places are also different?,why are climates different in two places?,why does Climates are different in the two places cause The environments in the two places are also different?
1753,dev-1753,Floats are made of lightweight wood.,Balsa is suitable for making a float.,Balsa is light.,what what float is a float?,what is the effect of balsa being used to make floats?,why does Floats are made of lightweight wood cause Balsa is suitable for making a float?,what what float is a float?,what is the effect of balsa being used to make floats?,why does Floats are made of lightweight wood cause Balsa is suitable for making a float?
1754,dev-1754,Tom went to the park.,Tom got stinged by mosquitoes.,Ecosystems possess mosquitoes.,what did tom get stung by?,why did tom get stung by mosquitoes?,why does Tom went to the park cause Tom got stinged by mosquitoes?,what did tom get stung by?,why did tom get stung by mosquitoes?,why does Tom went to the park cause Tom got stinged by mosquitoes?
1755,dev-1755,Mary is a three-year-old baby.,Many of her peers are suffering from tonsillitis.,Tonsillitis occurs most commonly during early childhood.,how old are many of mary's peers?,what is the cause of many of mary's peers suffering?,is mary's peers suffering from tonsillitis?,how old are many of mary's peers?,what is the cause of many of mary's peers suffering?,is mary's peers suffering from tonsillitis?
1756,dev-1756,Tom utilized lyophilization to dispose some lethal virus.,The virus became inactive.,Lyophilization causes inactivation.,what happened to tom's virus?,why did the virus become inactive?,what happened to the virus because tom used lyophilization?,what happened to tom's virus?,why did the virus become inactive?,what happened to the virus because tom used lyophilization?
1757,dev-1757,The population of the area is decreasing.,There is profound negative effects.,Reductions may have profound negative effects.,what effect does the population of the area have?,what is the cause of the decrease in population?,is the population of the area increasing or decreasing?,what effect does the population of the area have?,what is the cause of the decrease in population?,is the population of the area increasing or decreasing?
1758,dev-1758,The female elephant in the zoo is getting old.,It began to grow tusks.,Tusks are occasionally present in older females.,is the female elephant in the zoo getting old?,is the female elephant in the zoo getting old?,why does The female elephant in the zoo is getting old cause It began to grow tusks?,is the female elephant in the zoo getting old?,is the female elephant in the zoo getting old?,why does The female elephant in the zoo is getting old cause It began to grow tusks?
1759,dev-1759,The frail Maria coughs for a long time.,Her lungs are obviously inflamed.,Coughs make inflammation.,how long does the frail maria cough?,what causes the frail maria to cough?,are her lungs inflamed?,how long does the frail maria cough?,what causes the frail maria to cough?,are her lungs inflamed?
1760,dev-1760,He dug up a snapdragon.,He found it had shallow root.,Snapdragons have shallow roots.,what kind of root did a snapdragon have?,what was the cause of the discovery of shallow root?,what was the root of a snapdragon?,what kind of root did a snapdragon have?,what was the cause of the discovery of shallow root?,what was the root of a snapdragon?
1761,dev-1761,The researchers conducted cloning experiments.,Some people were responsible for producing genetic copies.,Cloning involves producing genetic copies.,what was the result of the cloning experiments?,what is the cause of cloning experiments?,some people are responsible for producing genetic copies because they conducted cloning experiments?,what was the result of the cloning experiments?,what is the cause of cloning experiments?,some people are responsible for producing genetic copies because they conducted cloning experiments?
1762,dev-1762,My father only wants individual liberty but not individual responsibility.,What he follows is not real libertarianism.,Libertarianism is all about individual liberty coupled with individual responsibility.,what does he not want individual responsibility?,what is the effect of my father following individual liberty?,what is not real libertarianism?,what does he not want individual responsibility?,what is the effect of my father following individual liberty?,what is not real libertarianism?
1763,dev-1763,A cell line is differentiated.,It is different from other cell lines now.,Differentiation is the specialization of a cell line.,cell cell cell cell cell cell cell cell cell cell cell cell cell cell what cell?,what cell lines are different?,what is what cell line is differentiated?,cell cell cell cell cell cell cell cell cell cell cell cell cell cell what cell?,what cell lines are different?,what is what cell line is differentiated?
1764,dev-1764,The tumble caused his dehiscence.,The previously joined wound separated.,Dehiscence is separation of a previously joined wound.,the tumble caused dehiscence such that a previously joined wound separated?,what : the tumble caused his dehis?,what what his tumble was dehiscence?,the tumble caused dehiscence such that a previously joined wound separated?,what : the tumble caused his dehis?,what what his tumble was dehiscence?
1765,dev-1765,He bought a big mat.,He used it to cover the floor.,Mats cover surfaces.,what type of mat did he use to cover the floor?,who bought a big mat?,what was the purpose of the mat?,what type of mat did he use to cover the floor?,who bought a big mat?,what was the purpose of the mat?
1766,dev-1766,Jerry was in need of a design for his company's logo.,Jerry turned to an enterprises and paid to get a good design.,Enterprises offer designs.,what design did jerry need for his company's logo?,what was the cause of jerry's need for a logo design?,why does Jerry was in need of a design for his company's logo cause Jerry turned to an enterprises and paid to get a good design?,what design did jerry need for his company's logo?,what was the cause of jerry's need for a logo design?,why does Jerry was in need of a design for his company's logo cause Jerry turned to an enterprises and paid to get a good design?
1767,dev-1767,Some animals hibernate in winter.,Their prey can escape the catastrophe at this time.,Survival changes over periods.,what do some animals hibernate for?,why do some animals hibernate in winter?,some animals can escape catastrophe by hibernating?,what do some animals hibernate for?,why do some animals hibernate in winter?,some animals can escape catastrophe by hibernating?
